customer_id,amount_cad,debit_credit,cash_indicator,country,province,city,transaction_date,transaction_time,transaction_datetime
SYNCID0000000014,25.41,credit,False,CA,SK,REGINA,2022-11-16,17:37:41,2022-11-16 17:37:41
SYNCID0000000034,238.17,debit,True,CA,ON,TORONTO,2022-11-18,10:22:59,2022-11-18 10:22:59
SYNCID0000000034,1655.43,credit,False,CA,,OTHER,2022-12-29,11:56:08,2022-12-29 11:56:08
SYNCID0000000034,620.69,credit,True,CA,,OTHER,2023-01-22,16:48:12,2023-01-22 16:48:12
SYNCID0000000034,323.7,debit,True,CA,,OTHER,2022-11-14,13:24:45,2022-11-14 13:24:45
SYNCID0000000034,6876.76,credit,False,CA,ON,VAUGHAN,2022-12-11,11:55:50,2022-12-11 11:55:50
SYNCID0000000038,104.55,debit,True,CA,,OTHER,2022-12-28,18:07:36,2022-12-28 18:07:36
SYNCID0000000046,111.91,debit,True,CA,AB,EDMONTON,2022-11-14,22:58:02,2022-11-14 22:58:02
SYNCID0000000046,193.76,debit,True,,,,2022-11-26,10:50:41,2022-11-26 10:50:41
SYNCID0000000046,217.0,debit,True,,,,2023-01-06,10:26:31,2023-01-06 10:26:31
SYNCID0000000046,106.02,debit,True,,,,2022-12-30,12:47:33,2022-12-30 12:47:33
SYNCID0000000046,20.91,debit,True,CA,,OTHER,2022-11-22,11:47:54,2022-11-22 11:47:54
SYNCID0000000046,213.5,debit,True,CA,,OTHER,2022-11-11,11:39:04,2022-11-11 11:39:04
SYNCID0000000046,335.04,credit,False,CA,ON,TORONTO,2022-12-16,09:16:22,2022-12-16 09:16:22
SYNCID0000000046,104.08,debit,True,,,,2023-01-04,11:44:59,2023-01-04 11:44:59
SYNCID0000000046,124.65,debit,True,CA,ON,SCARBOROUGH,2022-11-11,13:10:57,2022-11-11 13:10:57
SYNCID0000000046,64.59,credit,True,CA,QC,MONTREAL,2022-12-13,16:23:31,2022-12-13 16:23:31
SYNCID0000000046,254.35,debit,True,CA,AB,EDMONTON,2023-01-12,20:58:24,2023-01-12 20:58:24
SYNCID0000000046,304.46,debit,True,CA,ON,BRAMPTON,2022-12-07,15:15:30,2022-12-07 15:15:30
SYNCID0000000046,406.57,credit,False,CA,ON,OSHAWA,2022-11-07,08:04:30,2022-11-07 08:04:30
SYNCID0000000046,269.5,debit,True,CA,,OTHER,2022-12-02,15:15:46,2022-12-02 15:15:46
SYNCID0000000046,422.27,debit,True,CA,ON,BRAMPTON,2022-12-05,12:29:30,2022-12-05 12:29:30
SYNCID0000000046,103.89,debit,True,,,,2023-01-12,14:13:29,2023-01-12 14:13:29
